"","BirdID","birthyear","occasionyear","age_year","newlifespan","FPID","newstat","prate","Observer","SexEstimate","new_bug","BroodSize","nr_helpers","WatchType"
"241",221,1988,2001,13,6378,40,"Dom",NA,NA,"1",NA,NA,NA,NA
"242",221,1988,2002,14,6378,41,"Dom",NA,NA,"1",NA,NA,NA,NA
"243",221,1988,2003,15,6378,30,"Dom",NA,NA,"1",3.65308711255895,NA,NA,NA
"244",221,1988,2004,16,6378,34,"Dom",NA,NA,"1",3.18841004325798,NA,NA,NA
"245",221,1988,2005,17,6378,37,"Dom",NA,NA,"1",3.76584093842371,NA,NA,NA
"246",293,1988,1988,0,2889,8,"Sub",NA,NA,"1",NA,NA,NA,NA
"247",293,1988,1989,1,2889,10,"Dom",NA,NA,"1",NA,NA,NA,NA
"248",293,1988,1990,2,2889,12,"Dom",NA,NA,"1",2.65244281811658,NA,NA,NA
"249",293,1988,1991,3,2889,14,"Dom",NA,NA,"1",NA,NA,NA,NA
"250",293,1988,1992,4,2889,NA,"Sub",NA,NA,"1",NA,NA,NA,NA
"251",293,1988,1993,5,2889,16,"Dom",NA,NA,"1",NA,NA,NA,NA
"252",293,1988,1994,6,2889,17,"Dom",NA,NA,"1",NA,NA,NA,NA
"253",293,1988,1995,7,2889,19,"Dom",NA,NA,"1",NA,NA,NA,NA
"254",293,1988,1996,8,2889,21,"Dom",0.133333333333333,NA,"1",5.50450219233333,1,0,"FI"
"255",297,1989,1989,0,4574,10,"Sub",NA,NA,"0",NA,NA,NA,NA
"256",297,1989,1990,1,4574,12,"Sub",NA,NA,"0",2.65244281811658,NA,NA,NA
"257",297,1989,1991,2,4574,14,"Sub",NA,NA,"0",NA,NA,NA,NA
"258",297,1989,1992,3,4574,NA,"Sub",NA,NA,"0",NA,NA,NA,NA
"259",297,1989,1993,4,4574,16,"Sub",NA,NA,"0",NA,NA,NA,NA
"260",297,1989,1994,5,4574,17,"Dom",NA,NA,"0",NA,NA,NA,NA
"261",297,1989,1995,6,4574,19,"Help",NA,NA,"0",NA,NA,NA,NA
"262",297,1989,1996,7,4574,21,"Help",0.0333333333333333,NA,"0",5.50450219233333,1,1,"FI"
"263",297,1989,1997,8,4574,22,"Help",NA,NA,"0",6.34906043057842,NA,NA,NA
"264",297,1989,1998,9,4574,23,"Dom",0.122222222222222,NA,"0",5.83789656866667,1,2,"F"
"265",297,1989,1998,9,4574,25,"Dom",0.15,NA,"0",3.40909704426667,1,2,"F"
"266",297,1989,1999,10,4574,28,"Dom",NA,NA,"0",5.15521640609487,NA,NA,NA
"267",297,1989,2000,11,4574,39,"Dom",NA,NA,"0",NA,NA,NA,NA
"268",297,1989,2001,12,4574,40,"Dom",NA,NA,"0",NA,NA,NA,NA
"269",297,1989,2002,13,4574,41,"Sub",NA,NA,"0",NA,NA,NA,NA
